"experiment","unit","unit_number","id_1","id_2","id_3","time","date","salinity","pHat25","fileName","unit_ID","alk","insituTemp","pHinsitu","dateString","treatName","treatpH","treatTemp","treatOther","dic"
"Krill","Chamber",10,"Jar","ColtPlastics_insert","J2G","0.6972222222222223",2021-08-30,29.99,7.25554449190459,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_10",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",2063.1227165952
"Krill","Chamber",10,"Jar","ColtPlastics_insert","J2G","0.6972222222222223",2021-08-30,29.99,7.25905992117247,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_10",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",2062.06941552265
"Krill","Chamber",9,"Jar","PP_no_insert","J3E","0.70416666666666661",2021-08-30,30.01,7.5297918646974,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",2033.35945,NA,NA,"2021-08-30","",NA,NA,"",1985.08166667656
"Krill","Chamber",9,"Jar","PP_no_insert","J3E","0.70416666666666661",2021-08-30,30.01,7.54467410660783,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",2033.35945,NA,NA,"2021-08-30","",NA,NA,"",1980.71764212981
"Krill","Chamber",9,"Jar","PP_rubberSilicone","J3G","0.70763888888888893",2021-08-30,30.01,7.55904712896287,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",2033.35945,NA,NA,"2021-08-30","",NA,NA,"",1976.47007324221
"Krill","Chamber",9,"Jar","PP_rubberSilicone","J3G","0.70763888888888893",2021-08-30,30.01,7.56322381227861,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",2033.35945,NA,NA,"2021-08-30","",NA,NA,"",1975.22922214561
"Krill","Chamber",9,"Jar","ColtPlastics_insert","J2D","0.78541666666666676",2021-08-30,30.01,7.54042687652796,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx","Chamber_9",2033.35945,NA,NA,"2021-08-30","",NA,NA,"",1981.96645924104
"Krill","Chamber",9,"Jar","ColtPlastics_insert","J2D","0.78541666666666676",2021-08-30,30.01,7.55589042053962,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx","Chamber_9",2033.35945,NA,NA,"2021-08-30","",NA,NA,"",1977.40589666945
"Krill","Chamber",9,"Jar","ColtPlastics_insert","J2E","0.56874999999999998",2021-08-30,29.99,7.5349806889578,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx","Chamber_9",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",1982.63283308526
"Krill","Chamber",9,"Jar","ColtPlastics_insert","J2E","0.56874999999999998",2021-08-30,29.99,7.54046907652796,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx","Chamber_9",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",1981.02420917748
"Krill","Chamber",10,"Jar","ColtPlastics_insert","J2F","0.53263888888888888",2021-08-30,29.99,7.26393633446584,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx","Chamber_10",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",2060.61255606692
"Krill","Chamber",10,"Jar","ColtPlastics_insert","J2F","0.53263888888888888",2021-08-30,29.99,7.26049959243212,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx","Chamber_10",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",2061.63879995092
"Krill","Chamber",9,"Bottle","N/A","CH09_01","0.51180555555555551",2021-08-27,31.37,7.59853436206763,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_9",2101.82865,NA,NA,"2021-08-27","",NA,NA,"",2026.90070455339
"Krill","Chamber",9,"Bottle","N/A","CH09_01","0.51388888888888895",2021-08-27,31.37,7.60404103455058,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_9",2101.82865,NA,NA,"2021-08-27","",NA,NA,"",2025.13689933957
"Krill","Chamber",10,"Bottle","N/A","CH10_01","0.51458333333333328",2021-08-27,31.06,7.28725855975473,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_10",2086.2217,NA,NA,"2021-08-27","",NA,NA,"",2105.85778838547
"Krill","Chamber",10,"Bottle","N/A","CH10_02","0.6479166666666667",2021-08-27,30.25,7.30507587992906,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_10",2045.44225,NA,NA,"2021-08-27","",NA,NA,"",2061.13473525972
"Krill","Chamber",10,"Bottle","N/A","CH10_03","0.55486111111111114",2021-08-27,30.25,7.32992866562917,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_10",2045.44225,NA,NA,"2021-08-27","",NA,NA,"",2053.88411743819
"Krill","Chamber",9,"Bottle","N/A","CH09_03","0.65277777777777779",2021-08-27,30.25,7.59593796547118,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_9",2045.44225,NA,NA,"2021-08-27","",NA,NA,"",1976.41005399562
"Krill","Chamber",10,"Bottle","N/A","CH10_03a","0.62083333333333335",2021-08-27,29.45,7.35189725642127,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_10",2005.16625,NA,NA,"2021-08-27","",NA,NA,"",2008.93371829934
"Krill","Chamber",9,"Bottle","N/A","CH09_03a","0.61944444444444446",2021-08-27,29.54,7.59743606547118,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_9",2009.6973,NA,NA,"2021-08-27","",NA,NA,"",1943.36460694646
"Krill","Chamber",9,"Bottle","N/A","CH09_04","0.71111111111111114",2021-08-27,29.74,7.61430791455147,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_9",2019.7663,NA,NA,"2021-08-27","",NA,NA,"",1947.43637775801
"Krill","Chamber",10,"Bottle","N/A","CH10_04","0.6958333333333333",2021-08-27,29.98,7.3941839293802,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx","Chamber_10",2031.8491,NA,NA,"2021-08-27","",NA,NA,"",2022.46790408248
