"BottleID","JarID","unit","unit_number","id_1","id_2","id_3","date","salinity","unit_ID","Day03_pHinsitu","treatment","SEQ","Manufacturer","CHMBR","BottleTime","BottleDate","insert","Manufacturer_1","SourceSalinity","BubbleEndSalinity","Treatment.y","Day00_pHiinsitu","delta_pH","HydroIons_Day03","HydroIons_Day00","delta_HydroIons"
"CH10_01","JD1","Chamber",10,"Jar","CWP_no_insert","JD1",2021-08-30,31.06,"Chamber_10",7.441727018,"HiCO2",4,"CWP","CH10",1345,"8/27/21","no_insert","CWP_no_insert",29.99,31.06,"HiCO2",7.46975845,0.0280314319999997,36.1637103381327,33.9032670096874,2.26044332844535
"CH10_01","JA1","Chamber",10,"Jar","CWP_rubberSilicone","JA1",2021-08-30,31.06,"Chamber_10",7.43639023,"HiCO2",3,"CWP","CH10",1343,"8/27/21","rubberSi","CWP_rubberSilicone",29.99,31.06,"HiCO2",7.46975845,0.0333682199999998,36.6108464523776,33.9032670096874,2.70757944269029
"CH10_01","JA1","Chamber",10,"Jar","CWP_rubberSilicone","JA1",2021-08-30,31.06,"Chamber_10",7.408854051,"HiCO2",3,"CWP","CH10",1343,"8/27/21","rubberSi","CWP_rubberSilicone",29.99,31.06,"HiCO2",7.46975845,0.060904399,39.0073052599137,33.9032670096874,5.10403825022637
"CH10_01","J2F","Chamber",10,"Jar","ColtPlastics_insert","J2F",2021-08-30,29.99,"Chamber_10",7.44342381,"HiCO2",10,"CP","CH10",1347,"8/27/21","COLT","ColtPlastics_insert",29.99,31.06,"HiCO2",7.46975845,0.02633464,36.022694088979,33.9032670096874,2.11942707929162
"CH10_01","J2F","Chamber",10,"Jar","ColtPlastics_insert","J2F",2021-08-30,29.99,"Chamber_10",7.439664371,"HiCO2",10,"CP","CH10",1347,"8/27/21","COLT","ColtPlastics_insert",29.99,31.06,"HiCO2",7.46975845,0.0300940789999995,36.3358755145192,33.9032670096874,2.43260850483188
"CH10_01","J2G","Chamber",10,"Jar","ColtPlastics_insert","J2G",2021-08-30,29.99,"Chamber_10",7.438089898,"HiCO2",11,"CP","CH10",1349,"8/27/21","COLT","ColtPlastics_insert",29.99,31.06,"HiCO2",7.46975845,0.0316685519999993,36.4678451476955,33.9032670096874,2.56457813800812
"CH10_01","J2G","Chamber",10,"Jar","ColtPlastics_insert","J2G",2021-08-30,29.99,"Chamber_10",7.434246265,"HiCO2",11,"CP","CH10",1349,"8/27/21","COLT","ColtPlastics_insert",29.99,31.06,"HiCO2",7.46975845,0.035512185,36.7920286710281,33.9032670096874,2.88876166134073
"CH10_02","J2H","Chamber",10,"Jar","ColtPlastics_insert","J2H",2021-08-30,30.25,"Chamber_10",7.512451528,"HiCO2",12,"CP","CH10",1507,"8/27/21","COLT","ColtPlastics_insert",29.2,30.25,"HiCO2",7.48870895,-0.0237425779999993,30.7290031531263,32.4557052035289,-1.72670205040253
"CH10_02","J3L","Chamber",10,"Jar","PP_no_insert","J3L",2021-08-30,29.2,"Chamber_10",7.509840447,"HiCO2",26,"PP","CH10",1513,"8/27/21","no_insert","PP_no_insert",29.2,30.25,"HiCO2",7.48870895,-0.0211314969999998,30.9143096729733,32.4557052035289,-1.54139553055556
"CH10_02","J3L","Chamber",10,"Jar","PP_no_insert","J3L",2021-08-30,29.2,"Chamber_10",7.520661186,"HiCO2",26,"PP","CH10",1513,"8/27/21","no_insert","PP_no_insert",29.2,30.25,"HiCO2",7.48870895,-0.0319522359999995,30.1535753215075,32.4557052035289,-2.30212988202131
"CH10_02","J3H","Chamber",10,"Jar","PP_rubberSilicone","J3H",2021-08-30,30.25,"Chamber_10",7.499452928,"HiCO2",22,"PP","CH10",1508,"8/27/21","rubberSi","PP_rubberSilicone",29.2,30.25,"HiCO2",7.48870895,-0.0107439779999998,31.6626362755435,32.4557052035289,-0.793068927985395
"CH10_02","J3H","Chamber",10,"Jar","PP_rubberSilicone","J3H",2021-08-30,30.25,"Chamber_10",7.508215438,"HiCO2",22,"PP","CH10",1508,"8/27/21","rubberSi","PP_rubberSilicone",29.2,30.25,"HiCO2",7.48870895,-0.0195064879999993,31.0301990878639,32.4557052035289,-1.42550611566493
"CH10_02","J2H","Chamber",10,"Jar","ColtPlastics_insert","J2H",2021-08-30,30.25,"Chamber_10",7.516008794,"HiCO2",12,"CP","CH10",1507,"8/27/21","COLT","ColtPlastics_insert",29.2,30.25,"HiCO2",7.48870895,-0.0272998439999999,30.4783327363045,32.4557052035289,-1.97737246722435
"CH10_02","J3K","Chamber",10,"Jar","PP_no_insert","J3K",2021-08-30,29.2,"Chamber_10",7.528745725,"HiCO2",25,"PP","CH10",1511,"8/27/21","no_insert","PP_no_insert",29.2,30.25,"HiCO2",7.48870895,-0.0400367749999999,29.5974485985135,32.4557052035289,-2.85825660501533
"CH10_02","J3K","Chamber",10,"Jar","PP_no_insert","J3K",2021-08-30,30.25,"Chamber_10",7.494286,"HiCO2",25,"PP","CH10",1511,"8/27/21","no_insert","PP_no_insert",29.2,30.25,"HiCO2",7.48870895,-0.00557704999999942,32.0415856511688,32.4557052035289,-0.41411955236002
"CH10_03","J2I","Chamber",10,"Jar","ColtPlastics_insert","J2I",2021-08-30,29.45,"Chamber_10",7.519707405,"HiCO2",13,"CP","CH10",1553,"8/27/21","COLT","ColtPlastics_insert",28.9,29.45,"HiCO2",7.51600879,-0.00369861500000024,30.2198702256828,30.4783330170204,-0.258462791337543
"CH10_03","J3J","Chamber",10,"Jar","PP_rubberSilicone","J3J",2021-08-30,29.45,"Chamber_10",7.52027675,"HiCO2",24,"PP","CH10",1552,"8/27/21","rubberSi","PP_rubberSilicone",28.9,29.45,"HiCO2",7.51600879,-0.00426795999999996,30.1802789811955,30.4783330170204,-0.298054035824894
"CH10_03","J2I","Chamber",10,"Jar","ColtPlastics_insert","J2I",2021-08-30,29.45,"Chamber_10",7.52027675,"HiCO2",13,"CP","CH10",1553,"8/27/21","COLT","ColtPlastics_insert",28.9,29.45,"HiCO2",7.51600879,-0.00426795999999996,30.1802789811955,30.4783330170204,-0.298054035824894
"CH10_03","J3J","Chamber",10,"Jar","PP_rubberSilicone","J3J",2021-08-30,29.45,"Chamber_10",7.533984842,"HiCO2",24,"PP","CH10",1552,"8/27/21","rubberSi","PP_rubberSilicone",28.9,29.45,"HiCO2",7.51600879,-0.0179760519999999,29.242544401009,30.4783330170204,-1.23578861601139
"CH10_03","J3I","Chamber",10,"Jar","PP_rubberSilicone","J3I",2021-08-30,29.45,"Chamber_10",7.512363487,"HiCO2",23,"PP","CH10",1550,"8/27/21","rubberSi","PP_rubberSilicone",28.9,29.45,"HiCO2",7.51600879,0.00364530299999988,30.7352332263163,30.4783330170204,0.256900209295967
"CH10_03","J3I","Chamber",10,"Jar","PP_rubberSilicone","J3I",2021-08-30,29.45,"Chamber_10",7.517247598,"HiCO2",23,"PP","CH10",1550,"8/27/21","rubberSi","PP_rubberSilicone",28.9,29.45,"HiCO2",7.51600879,-0.00123880800000009,30.3915186419736,30.4783330170204,-0.0868143750467461
"CH10_03a","J3M","Chamber",10,"Jar","PP_no_insert","J3M",2021-08-30,29.23,"Chamber_10",7.50466566,"HiCO2",27,"PP","CH10",1553,"8/27/21","no_insert","PP_no_insert",28.9,29.23,"HiCO2",7.53954142,0.0348757600000003,31.2848689435228,28.8707841651295,2.4140847783933
"CH10_03a","J3M","Chamber",10,"Jar","PP_no_insert","J3M",2021-08-30,29.23,"Chamber_10",7.505776166,"HiCO2",27,"PP","CH10",1553,"8/27/21","no_insert","PP_no_insert",28.9,29.23,"HiCO2",7.53954142,0.0337652539999995,31.2049746421658,28.8707841651295,2.33419047703635
"CH10_04","J2J","Chamber",10,"Jar","ColtPlastics_insert","J2J",2021-08-30,30.25,"Chamber_10",7.481232933,"HiCO2",14,"CP","CH10",1644,"8/27/21","COLT","ColtPlastics_insert",30.01,29.98,"HiCO2",7.58645432,0.105221386999999,33.0192395486637,25.914669829259,7.10456971940475
"CH10_04","J2J","Chamber",10,"Jar","ColtPlastics_insert","J2J",2021-08-30,30.25,"Chamber_10",7.485529836,"HiCO2",14,"CP","CH10",1644,"8/27/21","COLT","ColtPlastics_insert",30.01,29.98,"HiCO2",7.58645432,0.100924483999999,32.6941585199121,25.914669829259,6.77948869065316
"CH10_04","J3N","Chamber",10,"Jar","PP_no_insert","J3N",2021-08-30,29.98,"Chamber_10",7.4728082,"HiCO2",28,"PP","CH10",1645,"8/27/21","no_insert","PP_no_insert",30.01,29.98,"HiCO2",7.58645432,0.113646119999999,33.6660217760462,25.914669829259,7.75135194678727
